"","summary.Rhat"
"a_mu",1.01345588375875
"a[1]",1.01543122592114
"a[2]",1.01313836433624
"a[3]",1.01268643185913
"a[4]",1.01355586484016
"a[5]",1.01457133064176
"a[6]",1.01449979738248
"b_mu[1]",1.00263051796512
"b_mu[2]",1.0039835753674
"b_mu[3]",1.0039291520883
"b_mu[4]",1.0053068394831
"b_mu[5]",0.999846472456727
"b_mu[6]",1.0113357694881
"b_mu[7]",1.01533774414492
"b_mu[8]",1.00126410205723
"b_mu[9]",1.00932311199246
"b_mu[10]",1.02026721934828
"b_mu[11]",1.0132893878758
"b_mu[12]",1.00238062275509
"b_mu[13]",1.00895258794489
"b_mu[14]",1.01936590287147
"b_mu[15]",1.0023441133568
"b_mu[16]",1.0483541267056
"b[1,1]",1.00163309223203
"b[1,2]",1.00663168870242
"b[1,3]",1.0016050547844
"b[1,4]",1.008296546857
"b[1,5]",1.00325139933656
"b[1,6]",1.0080312405196
"b[1,7]",1.00863267987412
"b[1,8]",1.00222597642173
"b[1,9]",1.02243187403347
"b[1,10]",1.00681019417306
"b[1,11]",1.00114013281951
"b[1,12]",1.00250116267699
"b[1,13]",1.00570859137617
"b[1,14]",1.03545664460602
"b[1,15]",1.01515438605752
"b[1,16]",0.999626508022287
"b[2,1]",1.0086031082666
"b[2,2]",1.00318549525249
"b[2,3]",0.999697485797689
"b[2,4]",1.00246483160943
"b[2,5]",1.00174188970439
"b[2,6]",1.00873746499058
"b[2,7]",1.00212970276655
"b[2,8]",1.00513198914337
"b[2,9]",1.00103950796822
"b[2,10]",1.00365004311605
"b[2,11]",1.00350727761013
"b[2,12]",1.009539505759
"b[2,13]",1.00212311290738
"b[2,14]",1.00337428812481
"b[2,15]",1.03130725424851
"b[2,16]",1.01754428702587
"b[3,1]",1.00972925485596
"b[3,2]",1.01355508602085
"b[3,3]",0.999185709194411
"b[3,4]",1.00554043853888
"b[3,5]",1.00160634750096
"b[3,6]",1.00446052438012
"b[3,7]",1.01068165064031
"b[3,8]",1.00112728959597
"b[3,9]",1.00419860249508
"b[3,10]",1.0001466590008
"b[3,11]",1.01192587749504
"b[3,12]",1.00111138143984
"b[3,13]",1.00244380826127
"b[3,14]",1.00122019523124
"b[3,15]",1.00033953922516
"b[3,16]",1.00675764505385
"b[4,1]",1.00364825611646
"b[4,2]",1.00883602922072
"b[4,3]",1.0031270110393
"b[4,4]",1.00708584934964
"b[4,5]",1.00187837112763
"b[4,6]",1.00214976854695
"b[4,7]",1.00620708658916
"b[4,8]",1.01300484498755
"b[4,9]",1.01111994769389
"b[4,10]",1.00048444941607
"b[4,11]",1.00170681336265
"b[4,12]",1.00030319258951
"b[4,13]",0.999757661089269
"b[4,14]",1.00478139861812
"b[4,15]",0.999780646612841
"b[4,16]",1.00466566467447
"b[5,1]",1.00304547901995
"b[5,2]",1.00165412231292
"b[5,3]",1.00073711504573
"b[5,4]",1.00694678579417
"b[5,5]",1.01722692977158
"b[5,6]",1.02801144116564
"b[5,7]",1.01278801214052
"b[5,8]",1.00033526683872
"b[5,9]",0.999342763058242
"b[5,10]",1.01301810359937
"b[5,11]",1.0012354699632
"b[5,12]",1.00266782637099
"b[5,13]",1.01355736644733
"b[5,14]",1.04327047751387
"b[5,15]",1.03337820345543
"b[5,16]",1.00213122497538
"b[6,1]",1.00232902909403
"b[6,2]",1.00022934491633
"b[6,3]",1.01373742270774
"b[6,4]",1.04027739079669
"b[6,5]",1.0068165179087
"b[6,6]",1.03061402315792
"b[6,7]",1.00787887998928
"b[6,8]",1.00243211229359
"b[6,9]",1.00721395896654
"b[6,10]",1.010984781911
"b[6,11]",1.00120211152673
"b[6,12]",1.01027882164477
"b[6,13]",1.00001701958134
"b[6,14]",1.00772204823487
"b[6,15]",1.01128456855255
"b[6,16]",1.00446727812309
"b[7,1]",1.00004090662048
"b[7,2]",1.00146117464381
"b[7,3]",1.00166219850827
"b[7,4]",1.00253120012121
"b[7,5]",1.01632529024076
"b[7,6]",1.01075793122581
"b[7,7]",1.02414700994049
"b[7,8]",1.00136878291024
"b[7,9]",1.00051536634712
"b[7,10]",1.02307955502184
"b[7,11]",1.00446408611082
"b[7,12]",0.999572971429622
"b[7,13]",1.00015070214573
"b[7,14]",1.00382937702769
"b[7,15]",1.00292003463512
"b[7,16]",1.00335241717427
"b[8,1]",1.00915164059236
"b[8,2]",1.00094493075606
"b[8,3]",1.00300041350648
"b[8,4]",1.00076738212927
"b[8,5]",1.00137787368824
"b[8,6]",1.0226861210235
"b[8,7]",1.00276348597834
"b[8,8]",1.0012410849968
"b[8,9]",1.00606611530271
"b[8,10]",1.00206831538792
"b[8,11]",1.02940048161139
"b[8,12]",1.01621650878115
"b[8,13]",1.03762979200726
"b[8,14]",1.00152907333443
"b[8,15]",1.03586694297318
"b[8,16]",1.00080115182217
"b[9,1]",1.00160264004365
"b[9,2]",1.00603325933949
"b[9,3]",1.00076190084393
"b[9,4]",1.0068847526356
"b[9,5]",1.01792544098708
"b[9,6]",1.02901901808217
"b[9,7]",1.00635766683077
"b[9,8]",1.00027684347118
"b[9,9]",1.0096979419037
"b[9,10]",1.00111316561176
"b[9,11]",1.02498279339709
"b[9,12]",1.00061031301982
"b[9,13]",1.01410644927998
"b[9,14]",1.02030257956389
"b[9,15]",0.999527022627793
"b[9,16]",0.999897523253176
"b[10,1]",1.0292938071469
"b[10,2]",1.0008757571921
"b[10,3]",1.01169316794326
"b[10,4]",1.0029866729068
"b[10,5]",1.0096172789808
"b[10,6]",1.00427030887174
"b[10,7]",1.00249392728613
"b[10,8]",1.00470628788484
"b[10,9]",1.00158061798847
"b[10,10]",0.999378552712313
"b[10,11]",1.00917688103788
"b[10,12]",1.01193794599892
"b[10,13]",1.00253432128791
"b[10,14]",1.00297084713182
"b[10,15]",1.00128186521975
"b[10,16]",1.0014935529363
"b[11,1]",1.00388335443937
"b[11,2]",1.001841881079
"b[11,3]",0.999702323032991
"b[11,4]",1.00046025372155
"b[11,5]",1.01199425471532
"b[11,6]",1.01652992900147
"b[11,7]",1.00572164232089
"b[11,8]",1.00646122015859
"b[11,9]",1.00231572808837
"b[11,10]",1.0020444957361
"b[11,11]",1.00219750692058
"b[11,12]",0.999665162721332
"b[11,13]",1.00842787734093
"b[11,14]",1.00647193191389
"b[11,15]",1.01917534041721
"b[11,16]",1.04087041677406
"b[12,1]",1.00410238727805
"b[12,2]",1.00095906960122
"b[12,3]",1.0041281145847
"b[12,4]",1.0032298463536
"b[12,5]",1.00547459641045
"b[12,6]",1.02759991089516
"b[12,7]",1.01171484587909
"b[12,8]",1.00342568400454
"b[12,9]",0.999530205629241
"b[12,10]",1.00913697771076
"b[12,11]",1.03062403963987
"b[12,12]",1.00206580892632
"b[12,13]",1.00096567381293
"b[12,14]",1.00445773743122
"b[12,15]",1.00731229045328
"b[12,16]",1.00545411886888
"b[13,1]",1.00260019328077
"b[13,2]",1.01548438910263
"b[13,3]",1.01496627138513
"b[13,4]",1.0015890437995
"b[13,5]",1.00135720144761
"b[13,6]",1.00589086089067
"b[13,7]",1.02356061777096
"b[13,8]",1.00185444925278
"b[13,9]",1.0000267017438
"b[13,10]",1.00508070890251
"b[13,11]",1.01374116435774
"b[13,12]",1.00018489764312
"b[13,13]",1.04114882003368
"b[13,14]",1.01748549179766
"b[13,15]",1.00188643448341
"b[13,16]",1.00555766614216
"b[14,1]",1.00049378876686
"b[14,2]",1.00059034747176
"b[14,3]",1.01651856129516
"b[14,4]",1.00800274253695
"b[14,5]",1.00102357304496
"b[14,6]",1.00581489055353
"b[14,7]",1.00439651645904
"b[14,8]",1.00013426559722
"b[14,9]",1.00139790884706
"b[14,10]",1.00547477013096
"b[14,11]",1.00045074877736
"b[14,12]",1.0012116988374
"b[14,13]",1.00452266767091
"b[14,14]",1.00454628025196
"b[14,15]",1.0000938914562
"b[14,16]",1.00449096856913
"sig_b[1]",1.003560703604
"sig_b[2]",1.00263479412779
"sig_b[3]",1.00726590110816
"sig_b[4]",1.01364389821842
"sig_b[5]",1.01275292060924
"sig_b[6]",1.03580321148719
"sig_b[7]",1.02488149849625
"sig_b[8]",1.00921876702147
"sig_b[9]",1.00163511479994
"sig_b[10]",1.00398479985395
"sig_b[11]",1.00534538769025
"sig_b[12]",1.00064826469167
"sig_b[13]",1.02325487407827
"sig_b[14]",1.01141704904806
"sig_b[15]",1.08768662777458
"sig_b[16]",1.00216804051794
"sig_a",1.00161652740337
"sig_m",1.004811192383
"fint[1]",1.01821728527708
"fint[2]",1.01606587747689
"fint[3]",1.01335285960545
"fint[4]",1.01955959901338
"fint[5]",1.02387862966443
"fint[6]",1.01957605262611
"fint[7]",1.01654240564686
"fint[8]",1.01815633560133
"fint[9]",1.02543311776695
"fint[10]",1.00967419127155
"fint[11]",1.01134340448557
"fint[12]",1.0222387894175
"fint[13]",1.01166630822553
"fint[14]",1.00937815095202
"sig_f",1.00030564207731
"lp__",1.03842652953677
